recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
368,Easy Peach Cobbler with Canned Peaches,10 mins,45 mins,55 mins,16,1 9x13-inch cobbler,"2 (29 ounce) cans sliced peaches in juice, 2 cups all-purpose flour, 1 cup sugar, ¾ cup unsalted butter, softened, 1 cup chopped pecans","Preheat the oven to 350 degrees F (175 degrees C). Pour peaches and juice into a 9x13-inch baking dish.
Combine flour, sugar, and butter in a bowl; mix and knead with hands until crumbly. Sprinkle over the peaches, then scatter pecans over top.
Bake in the preheated oven until topping is golden brown and peaches are bubbly, 45 minutes to 1 hour.",3.3,https://www.allrecipes.com/recipe/285159/easy-peach-cobbler-with-canned-peaches/,/Desserts/Cobblers/Peach Cobbler Recipes/,"Total Fat 14g 18%, Saturated Fat 6g 30%, Cholesterol 23mg 8%, Sodium 6mg 0%, Total Carbohydrate 37g 13%, Dietary Fiber 2g 9%, Total Sugars 23g, Protein 3g, Vitamin C 4mg 19%, Calcium 16mg 1%, Iron 1mg 7%, Potassium 177mg 4%","Prep Time: 10 mins, Cook Time: 45 mins, Total Time: 55 mins, Servings: 16, Yield: 1 9x13-inch cobbler",https://www.allrecipes.com/thmb/ibyxl-7R6sacSkRj4mgzQz2vC80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/285159_Easy-Peach-Cobbler-with-Canned-Peaches_lutzflcat_1645467750-2000-fe955227c4a3455cb78db008d2a4fa8c.jpeg
369,Easy Fruit Cobbler,15 mins,1 hrs,1 hrs 15 mins,8,1 to 9 - inch cobbler,"1 cup all-purpose flour, 2 teaspoons baking powder, ¾ cup white sugar, ¾ cup milk, ¼ cup butter, 2 cups sliced fresh peaches","Preheat oven to 325 degrees F (165 degrees C). Melt butter in a 9 x 9 inch baking dish.
Blend together flour, baking powder, sugar, and milk.
Pour batter in baking dish over the butter. Sprinkle fruit on top of the batter, do not stir. Bake for 1 hour or until golden brown.",4.3,https://www.allrecipes.com/recipe/12148/easy-fruit-cobbler/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 6g 8%, Saturated Fat 4g 20%, Cholesterol 17mg 6%, Sodium 174mg 8%, Total Carbohydrate 34g 12%, Dietary Fiber 0g 1%, Total Sugars 22g, Protein 2g, Vitamin C 14mg 69%, Calcium 102mg 8%, Iron 1mg 5%, Potassium 64mg 1%","Prep Time: 15 mins, Cook Time: 1 hrs, Total Time: 1 hrs 15 mins, Servings: 8, Yield: 1 to 9 - inch cobbler",https://www.allrecipes.com/thmb/louGkIn2Dm5y7XkU38GJulA23fE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/683912-0eeba4f1164b4c67bb844f6427872822.jpg
370,Butter Biscuit Peach Cobbler,15 mins,1 hrs,1 hrs 35 mins,10,10 servings,"2 (29 ounce) cans peaches, ¾ cup white sugar, ½ cup brown sugar, ½ cup unsalted butter, 1 tablespoon cornstarch, 1 teaspoon vanilla extract, 1 teaspoon ground cinnamon, ½ teaspoon nutmeg, 1 pinch salt, 1 (16 ounce) can refrigerated buttermilk biscuit dough (such as Pillsbury Grands!®), 1 pinch ground cinnamon, 1 pinch white sugar, 1 pinch ground nutmeg, 1  pastry for a 9-inch pie crust","Preheat oven to 350 degrees F (175 degrees C).
Mix peaches, 3/4 cup white sugar, brown sugar, butter, cornstarch, vanilla extract, 1 teaspoon cinnamon, 1/2 teaspoon nutmeg, and salt in a large pot over medium heat; cook and stir until sugars are dissolved and butter is melted, about 5 minutes.
Sprinkle each biscuit with 1 pinch cinnamon, 1 pinch white sugar, and 1 pinch nutmeg. Flatten biscuits on a lightly floured surface using a rolling pin. Cut each flattened biscuit into 12 to 15 small squares; stir into peach mixture. Reduce heat to medium-low and simmer, stirring occasionally, until thickened, about 10 minutes.
Pour peach-biscuit mixture into a 9x13-inch baking dish and allow to thicken for 2 to 3 minutes; cover or decorate with pie crust. Cover dish with a sheet of aluminum foil and place dish on a baking sheet.
Bake in the preheated oven until crust is golden brown, 45 minutes to 1 hour. Cool before serving.",4.6,https://www.allrecipes.com/recipe/234306/butter-biscuit-peach-cobbler/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 21g 27%, Saturated Fat 9g 45%, Cholesterol 25mg 8%, Sodium 552mg 24%, Total Carbohydrate 73g 27%, Dietary Fiber 3g 12%, Total Sugars 46g, Protein 5g, Vitamin C 6mg 30%, Calcium 50mg 4%, Iron 2mg 12%, Potassium 313mg 7%","Prep Time: 15 mins, Cook Time: 1 hrs, Additional Time: 20 mins, Total Time: 1 hrs 35 mins, Servings: 10, Yield: 10 servings",https://www.allrecipes.com/thmb/-vsGcpSFYl0IRhPyp8acS_HQcWE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8568912-butter-biscuit-peach-cobbler-Deanna-Quade-4x3-1-cf2a1d37051a4a52a402b3d9e9eab41d.jpg
371,Easy Peach Cobbler with Cake Mix,,,,12,12 servings,"12  fresh peaches, pitted and sliced, 1 cup water, 1 cup white sugar, ½ teaspoon ground cinnamon, 1 (18.25 ounce) package white cake mix, 1 (8 ounce) package cream cheese, ½ cup butter","Preheat oven to 350 degrees F (175 degrees C).
Spread peach slices evenly into a 9x13 inch baking dish. If using canned peach juice, pour 1 cup of it over peach slices. If using fresh peaches, combine water and sugar in a small bowl. Stir to dissolve, then pour mixture over peaches.
Sprinkle cinnamon over peach slices, followed by dry cake mix. Top cake mix with pats of cream cheese. Dot cobbler with butter or margarine.
Bake in preheated oven for 45 minutes, until golden.",4.3,https://www.allrecipes.com/recipe/15046/easy-peach-cobbler-with-cake-mix/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 19g 24%, Saturated Fat 10g 49%, Cholesterol 41mg 14%, Sodium 397mg 17%, Total Carbohydrate 56g 21%, Dietary Fiber 0g 1%, Total Sugars 46g, Protein 3g, Vitamin C 42mg 210%, Calcium 112mg 9%, Iron 1mg 5%, Potassium 108mg 2%","Servings: 12, Yield: 12 servings",https://www.allrecipes.com/thmb/ph3qBtnpkP7Bj5p4IjKPMdbIssM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/777288-7c3469bd5dd94edfb8d2c36298a113f1.jpg
372,GA Peach Pound Cake,20 mins,1 hrs 10 mins,1 hrs 30 mins,16,1 to 10 - inch tube pan,"1 cup butter or margarine, softened, 2 cups white sugar, 4  eggs, 1 teaspoon vanilla extract, 3 cups all-purpose flour, 1 teaspoon baking powder, ½ teaspoon salt, 2 cups fresh peaches, pitted and chopped","Preheat oven to 325 degrees F (165 degrees C). Butter a 10 inch tube pan and coat with white sugar.
In a large bowl, cream together the butter and sugar until light and fluffy. Add the eggs one at a time, beating well with each addition, then stir in the vanilla. Reserve 1/4 cup of flour for later, and sift together the remaining flour, baking powder and salt. Gradually stir into the creamed mixture. Use the reserved flour to coat the chopped peaches, then fold the floured peaches into the batter. Spread evenly into the prepared pan.
Bake for 60 to 70 minutes in the preheated oven, or until a toothpick inserted into the cake comes out clean. Allow cake to cool in the pan for 10 minutes, before inverting onto a wire rack to cool completely.









",4.6,https://www.allrecipes.com/recipe/17635/ga-peach-pound-cake/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 13g 17%, Saturated Fat 8g 39%, Cholesterol 77mg 26%, Sodium 196mg 9%, Total Carbohydrate 44g 16%, Dietary Fiber 1g 2%, Total Sugars 26g, Protein 4g, Vitamin C 7mg 34%, Calcium 37mg 3%, Iron 1mg 8%, Potassium 52mg 1%","Prep Time: 20 mins, Cook Time: 1 hrs 10 mins, Total Time: 1 hrs 30 mins, Servings: 16, Yield: 1 to 10 - inch tube pan",https://www.allrecipes.com/thmb/iITX-hpIDBkNwFZYkK4K6jm8ZCY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1334531-9d1505481d774071b9d42d02c49388fb.jpg
374,Southern Peach Cobbler,10 mins,45 mins,1 hrs,8,8 servings,"½ cup butter, 1 cup white sugar, ¾ cup self-rising flour, ¾ cup milk, 1 (29 ounce) can sliced peaches in light syrup","Preheat oven to 350 degrees F (175 degrees C). Place butter in a deep 2 quart baking dish and place in oven to melt.
In a medium bowl, mix sugar and flour. Stir in milk, a little at a time, until wholly incorporated. Pour carefully over melted butter in dish. Spoon peaches and syrup over batter.
Bake in preheated oven 35 to 45 minutes, until crust is puffed and golden.",4.4,https://www.allrecipes.com/recipe/22778/southern-peach-cobbler/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 12g 16%, Saturated Fat 8g 38%, Cholesterol 32mg 11%, Sodium 245mg 11%, Total Carbohydrate 50g 18%, Dietary Fiber 2g 6%, Total Sugars 40g, Protein 3g, Vitamin C 3mg 13%, Calcium 73mg 6%, Iron 1mg 5%, Potassium 151mg 3%","Prep Time: 10 mins, Cook Time: 45 mins, Additional Time: 5 mins, Total Time: 1 hrs, Servings: 8, Yield: 8 servings",https://www.allrecipes.com/thmb/EKHEazOTzCRl0lXI4N8J71M0BGM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4014817-f0b224c442ca4843bbaec4634f309717.jpg
375,Peach Ice Cream,20 mins,,4 hrs 40 mins,32,4 quarts,"6 large eggs, beaten, 3 ½ cups white sugar, 10  fresh peaches, pitted and chopped, 4 cups heavy cream, 2 cups half-and-half cream, 2 teaspoons vanilla extract, ¾ teaspoon salt","Mix together eggs and sugar in a large bowl until smooth; purée peaches in a blender or food processor and stir 5 cups purée into egg mixture. Stir in cream, half-and-half, vanilla, and salt, and mix well.
Pour mixture into an ice cream maker and freeze according to manufacturer's instructions, about 20 minutes. Transfer to an airtight container and freeze until firm, about 4 hours.",4.7,https://www.allrecipes.com/recipe/20120/peach-ice-cream/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 14g 18%, Saturated Fat 8g 41%, Cholesterol 81mg 27%, Sodium 86mg 4%, Total Carbohydrate 25g 9%, Total Sugars 24g, Protein 2g, Vitamin C 13mg 67%, Calcium 44mg 3%, Iron 0mg 1%, Potassium 66mg 1%","Prep Time: 20 mins, Additional Time: 4 hrs 20 mins, Total Time: 4 hrs 40 mins, Servings: 32, Yield: 4 quarts",https://www.allrecipes.com/thmb/N_wogMh_N-cQmuOkhgdBsAwUEBA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/262462-3496d0744f074ef0b9350c77145b5911.jpg
376,Crisp Peach Cobbler,20 mins,45 mins,1 hrs 35 mins,8,8 servings,"6 large  fresh peaches, pitted and cut into eighths, 1  lemon, zested and juiced","Preheat oven to 375 degrees F (190 degrees C). Place a baking sheet on the rack under the middle rack to catch drips. Generously butter a 2-inch deep (2-quart) baking dish.
Place peach sections into prepared baking dish. Sprinkle with lemon juice and zest.
Stir butter and sugar together in a mixing bowl. Mix until creamed and resembles a sugary, buttery paste, 4 to 5 minutes. Add oats and flour; stir until flour and oats are incorporated into the butter-sugar mixture and mixture resembles coarse crumbs, 4 to 5 minutes. Pour in milk; stir until mixture is wet and creamy, like a thick spreadable batter, 3 to 4 minutes.
Drop batter by spoonful on top of the peaches. Spread batter evenly over the surface of the peaches. Sprinkle 1/4 cup sugar on the batter. Spritz with water until sugar is wet and surface glistens.
Bake in preheated oven on middle rack until browned and crispy, about 45 minutes. Let cool at least 30 minutes before serving.











Chef John
",4.6,https://www.allrecipes.com/recipe/259043/crisp-peach-cobbler/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 13g 16%, Saturated Fat 8g 39%, Cholesterol 33mg 11%, Sodium 279mg 12%, Total Carbohydrate 62g 23%, Dietary Fiber 1g 3%, Total Sugars 45g, Protein 3g, Vitamin C 43mg 214%, Calcium 111mg 9%, Iron 1mg 7%, Potassium 105mg 2%","Prep Time: 20 mins, Cook Time: 45 mins, Additional Time: 30 mins, Total Time: 1 hrs 35 mins, Servings: 8, Yield: 8 servings",https://www.allrecipes.com/thmb/3BrRGjqpAFBDuJS69aX7k-DWvZI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4535574-crisp-peach-cobbler-Chef-John-1x1-1-3e918b8ce2424731a93eb9c4fc08c144.jpg
377,Baked Peaches 'n Cream,10 mins,15 mins,25 mins,4,4 servings,"8 teaspoons brown sugar, 2 tablespoons butter, cut into 8 pieces, 1 pinch ground cinnamon, or more to taste, 4  ripe peaches, halved and pitted , 4 scoops vanilla ice cream","Preheat oven to 400 degrees F (200 degrees C).
Arrange brown sugar, 1 teaspoon per peach, in a 9x13-inch baking dish. Top each brown sugar mound with a piece of butter and a sprinkle of cinnamon. Place a peach half, cut-side down, on top of brown sugar-butter.
Bake in the preheated oven until peaches are soft, 15 to 20 minutes.
Plate 2 warm peaches per serving and top with 1 scoop vanilla ice cream.",4.7,https://www.allrecipes.com/recipe/241994/baked-peaches-n-cream/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 8g 10%, Saturated Fat 5g 26%, Cholesterol 25mg 8%, Sodium 63mg 3%, Total Carbohydrate 17g 6%, Dietary Fiber 0g 1%, Total Sugars 16g, Protein 1g, Vitamin C 42mg 210%, Calcium 48mg 4%, Iron 0mg 1%, Potassium 85mg 2%","Prep Time: 10 mins, Cook Time: 15 mins, Total Time: 25 mins, Servings: 4, Yield: 4 servings",https://www.allrecipes.com/thmb/ECkmEPXmhg28rM7mtiD5WxPy8PE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2241796-baked-peaches-n-cream-Jenny-Aleman-de-Bolanos-4x3-1-13345a4beedf4638a83c5f2a57ad70c3.jpg
378,Peach and Blackberry Cobbler,30 mins,45 mins,1 hrs 15 mins,12,1 9x13-inch dish,"4 cups peeled and sliced fresh peaches, 1 cup fresh blackberries, ¼ cup white sugar, 1 teaspoon ground cinnamon, 1 tablespoon lemon juice, ½ cup butter, melted, 1 ¼ cups all-purpose flour, 1 cup white sugar, 2 teaspoons baking powder, ½ teaspoon salt, 1 cup milk","Preheat oven to 350 degrees F (175 degrees C).
Mix peaches, blackberries, 1/4 cup sugar, cinnamon, and lemon juice in a bowl.
Pour butter into a 9x13-inch glass baking dish and evenly coat the bottom and sides. Whisk flour, 1 cup sugar, baking powder, and salt in a bowl; mix in milk, stirring just to moisten dry ingredients. Pour batter into prepared baking dish and distribute fruit mixture evenly over the batter.
Bake in the preheated oven until cobbler is golden brown, about 45 minutes.",4.6,https://www.allrecipes.com/recipe/223305/peach-and-blackberry-cobbler/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 8g 11%, Saturated Fat 5g 26%, Cholesterol 22mg 7%, Sodium 243mg 11%, Total Carbohydrate 36g 13%, Dietary Fiber 1g 4%, Total Sugars 25g, Protein 2g, Vitamin C 21mg 107%, Calcium 84mg 6%, Iron 1mg 4%, Potassium 83mg 2%","Prep Time: 30 mins, Cook Time: 45 mins, Total Time: 1 hrs 15 mins, Servings: 12, Yield: 1 9x13-inch dish",https://www.allrecipes.com/thmb/bFUHMxxNBfBHavxAu1VpX05haV8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/22305-peach-and-blackberry-cobbler-DDMFS-4x3-1-90fd880ff1e9439e88b009abcaa51dd8.jpg
379,Freezer Peach Pie Filling,15 mins,55 mins,3 hrs 10 mins,8,8 servings,"2 ½ cups sliced peaches, ¾ cup white sugar, 1 tablespoon cornstarch, 1 tablespoon MINUTE Tapioca, 1 dash Dash of nutmeg","Place sliced peaches in a bowl with sugar, cornstarch, tapioca, and nutmeg. Toss until evenly coated and sugar is mostly dissolved.
Transfer peaches to a 9 inch foil-lined pie plate. Cover with another piece of foil and freeze immediately to prevent peaches from discoloring. Once frozen solid, remove peaches from pie plate, with foil, and transfer to a zipper locked plastic bag for later use. When ready to use, line a pie plate with prepared crust and place frozen peaches on top.
Preheat oven to 450 degrees F (230 degrees C).
Bake in the preheated oven on the bottom rack for 20 minutes. Lower heat to 350 degrees F (175 degrees C) and continue baking for another 30 to 35 minutes, or until completely warmed through.",4.7,https://www.allrecipes.com/recipe/75611/freezer-peach-pie-filling/,/Desserts/Fillings/Fruit Fillings/,"Total Fat 0g 0%, Sodium 1mg 0%, Total Carbohydrate 31g 11%, Dietary Fiber 2g 5%, Total Sugars 28g, Protein 1g, Vitamin C 2mg 10%, Calcium 5mg 0%, Iron 1mg 4%, Potassium 171mg 4%","Prep Time: 15 mins, Cook Time: 55 mins, Additional Time: 2 hrs, Total Time: 3 hrs 10 mins, Servings: 8, Yield: 8 servings",https://www.allrecipes.com/thmb/zkyCJpWyd5F5zU8AWuxu_ejRwa0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/255184-0a18bdb81a464d9499ae2e9ec24f940d.jpg
381,Peach Cake II,,,,24,1 - 9x13 inch pan,"3  egg, beaten, 1 ¾ cups white sugar, 1 cup vegetable oil, 2 cups all-purpose flour, 1 teaspoon salt, 1 teaspoon ground cinnamon, 1 teaspoon baking soda, 2 cups fresh peaches - peeled, pitted, and sliced, ½ cup chopped pecans","Preheat oven to 375 degrees F (190 degrees C). Grease and flour a 9x13 inch pan.
In a large bowl, combine the eggs, sugar, oil, flour, salt, cinnamon, baking soda, peaches and pecans. Mix thoroughly by hand.
Pour into prepared 9x13 inch pan and bake at 375 degrees F (190 degrees C) for 50 minutes or until done.",4.4,https://www.allrecipes.com/recipe/8249/peach-cake-ii/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 12g 15%, Saturated Fat 2g 8%, Cholesterol 23mg 8%, Sodium 159mg 7%, Total Carbohydrate 24g 9%, Dietary Fiber 1g 2%, Total Sugars 15g, Protein 2g, Vitamin C 5mg 23%, Calcium 9mg 1%, Iron 1mg 4%, Potassium 33mg 1%","Servings: 24, Yield: 1 - 9x13 inch pan",https://www.allrecipes.com/thmb/t8pX_lnKs-PLctnoL81MokGmU_g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/878609-af289dbbe9514331a0eef1adc556ed16.jpg
382,Peach Upside Down Cake I,20 mins,35 mins,1 hrs,9,8 inch square cake,"¼ cup butter, ½ cup packed light brown sugar, ¼ teaspoon ground nutmeg, 5  fresh peaches - peeled, pitted and halved, ½ cup butter, softened, ½ cup white sugar, 1  egg, 1 ¼ cups all-purpose flour, 2 teaspoons baking powder, ½ teaspoon salt, ½ cup milk","Preheat oven to 375 degrees F (190 degrees C).
Melt 1/4 cup butter or margarine in an 8-inch square pan. Sprinkle with brown sugar and nutmeg. Arrange peach halves, cut side down, in pan.
In a large bowl, cream the butter and sugar until light and fluffy. Beat in egg. Stir together flour, baking powder and salt. Add flour mixture to creamed mixture alternately with milk, beating well after each addition. Spread batter over peaches.
Bake in preheated oven until lightly browned on top, 35 to 40 minutes. Remove cake from oven, and let stand in pan for 5 minutes; invert onto serving platter.",4.2,https://www.allrecipes.com/recipe/7446/peach-upside-down-cake-i/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 16g 21%, Saturated Fat 10g 51%, Cholesterol 62mg 21%, Sodium 366mg 16%, Total Carbohydrate 41g 15%, Dietary Fiber 1g 2%, Total Sugars 27g, Protein 3g, Vitamin C 23mg 117%, Calcium 103mg 8%, Iron 1mg 6%, Potassium 86mg 2%","Prep Time: 20 mins, Cook Time: 35 mins, Additional Time: 5 mins, Total Time: 1 hrs, Servings: 9, Yield: 8 inch square cake",https://www.allrecipes.com/thmb/9D6QUDjlwGh2S8-VmpU8UC5grPY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Peach-Uside-Down-Cake-Kim-4x3-1-2000-be83eba59e944907abfaa26c86afa986.jpeg
383,Peach Pie,1 hrs,45 mins,1 hrs 45 mins,8,1 to 9 - inch pie,"10  fresh peaches, pitted and sliced, ⅓ cup all-purpose flour, 1 cup white sugar, ¼ cup butter, 1 recipe pastry for a 9 inch double crust pie","Mix flour, sugar and butter into crumb stage.
Place one crust in the bottom of a 9 inch pie plate. Line the shell with some sliced peaches. Sprinkle some of the butter mixture on top of the peaches, then put more peaches on top of the the crumb mixture. Continue layering until both the peaches and crumbs are gone.
Top with lattice strips of pie crust.
Bake at 350 degrees F (175 degrees C) for 45 minutes, or until crust is golden. Allow pie to cool before slicing. Best when eaten fresh.









",4.4,https://www.allrecipes.com/recipe/12347/peach-pie/,/Desserts/Pies/Fruit Pies/Peach Pie Recipes/,"Total Fat 21g 27%, Saturated Fat 7g 37%, Cholesterol 15mg 5%, Sodium 280mg 12%, Total Carbohydrate 57g 21%, Dietary Fiber 2g 6%, Total Sugars 33g, Protein 3g, Vitamin C 52mg 262%, Calcium 22mg 2%, Iron 2mg 9%, Potassium 77mg 2%","Prep Time: 1 hrs, Cook Time: 45 mins, Total Time: 1 hrs 45 mins, Servings: 8, Yield: 1 to 9 - inch pie",https://www.allrecipes.com/thmb/5imunrESlYy2H-6xgWrSXNoSW5o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7371215-10de1b0385f64c4abadb3c1bb8b4fb9d.jpg
384,Best Peach Cobbler Ever,30 mins,1 hrs,1 hrs 30 mins,18,1 9x13-inch cobbler,"1 (29 ounce) can sliced peaches, 2 tablespoons butter, melted, 1 pinch ground cinnamon, 1 pinch ground nutmeg, 1 tablespoon cornstarch, ½ cup water, 1 cup milk, 1 cup white sugar, 1 cup all-purpose flour, 2 teaspoons baking powder, 1 pinch salt, ½ cup butter, 1 teaspoon ground cinnamon, ¼ teaspoon ground nutmeg","Preheat oven to 350 degrees F (175 degrees C.) In a large bowl, combine sliced peaches with juice, 2 tablespoons melted butter, a pinch of cinnamon and a pinch of nutmeg. Dissolve cornstarch in water, then stir into peach mixture; set aside.
In another bowl, combine milk, sugar, flour, baking powder and salt. Beat until smooth - mixture will be thin.
Melt 1/2 cup butter in a 9x13 inch pan. Pour batter over melted butter. Spoon peaches over batter. Sprinkle top with additional cinnamon and nutmeg.
Bake in preheated oven for 1 hour, or until knife inserted comes out clean.",4.2,https://www.allrecipes.com/recipe/12320/best-peach-cobbler-ever/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 7g 9%, Saturated Fat 4g 22%, Cholesterol 18mg 6%, Sodium 138mg 6%, Total Carbohydrate 48g 18%, Dietary Fiber 2g 7%, Total Sugars 33g, Protein 1g, Vitamin C 2mg 10%, Calcium 51mg 4%, Iron 0mg 2%, Potassium 128mg 3%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 18, Yield: 1 9x13-inch cobbler",https://www.allrecipes.com/thmb/cb5FhPzYnorSIv0UAIEGWaaSDNs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4534313-b0c1ca068ca64b08834b0a6d860cab1d.jpg
385,Peach Cobbler VI,15 mins,30 mins,45 mins,8,1 9x9-inch cobbler,"1 cup all-purpose flour, ½ cup brown sugar, ½ cup white sugar, 2 teaspoons baking powder, ½ teaspoon salt, 1 teaspoon vanilla extract, ¾ cup milk, ½ cup margarine, melted, 1 (29 ounce) can sliced canned peaches, drained, 1 teaspoon ground cinnamon","Preheat oven to 400 degrees F (200 degrees C). Grease a 9x9-inch baking dish.
In a large bowl, combine flour, brown sugar, white sugar, baking powder, salt, and vanilla. Pour milk into dry ingredients, and then stir in melted margarine. Mix thoroughly.
Pour mixture into prepared baking pan. Arrange peaches on top and sprinkle with cinnamon. Bake in preheated oven until golden brown, about 30 minutes.",4.5,https://www.allrecipes.com/recipe/18469/peach-cobbler-vi/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 12g 15%, Saturated Fat 2g 12%, Cholesterol 2mg 1%, Sodium 383mg 17%, Total Carbohydrate 47g 17%, Dietary Fiber 2g 7%, Total Sugars 33g, Protein 3g, Vitamin C 4mg 19%, Calcium 100mg 8%, Iron 1mg 7%, Potassium 201mg 4%","Prep Time: 15 mins, Cook Time: 30 mins, Total Time: 45 mins, Servings: 8, Yield: 1 9x9-inch cobbler",https://www.allrecipes.com/thmb/V9O1neaSOchIYdsbhKI6zfbdUB8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/717731-8ce13afc506343128c5169fd965188ed.jpg
386,Easy Stovetop Peach Cobbler,5 mins,15 mins,35 mins,6,6 servings,"1 (29 ounce) can sliced peaches, 2 teaspoons ground cinnamon (Optional), ¼ cup white sugar, 1 (9 ounce) package yellow cake mix, 4 teaspoons margarine","Discard 1/2 of the juice from the peaches and pour the rest into a saucepan. Sprinkle the top with cinnamon and sugar. Empty the cake mix on top of the peaches in an even layer. Place the margarine on top of the cake mix in the center.
Cover sauce pan with a lid and bring to a simmer over medium-high heat. Once you see steam escaping the saucepan, reduce heat to medium-low, and continue cooking for 10 minutes. Do not lift the lid during this time! Remove from heat and allow to stand with the lid on for 15 minutes before serving. The cake mix should look like dumplings.",4.3,https://www.allrecipes.com/recipe/139349/easy-stovetop-peach-cobbler/,/Desserts/Fruit Desserts/Peach Dessert Recipes/,"Total Fat 7g 9%, Saturated Fat 1g 6%, Cholesterol 1mg 0%, Sodium 311mg 14%, Total Carbohydrate 57g 21%, Dietary Fiber 3g 9%, Total Sugars 41g, Protein 3g, Vitamin C 5mg 25%, Calcium 74mg 6%, Iron 1mg 6%, Potassium 213mg 5%","Prep Time: 5 mins, Cook Time: 15 mins, Additional Time: 15 mins, Total Time: 35 mins, Servings: 6, Yield: 6 servings",https://www.allrecipes.com/thmb/NNqNCNhFYU8b3vdkuUMAbMq8B8k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2915591-f03596afab704ca7bc5c3d7fe7dc3a94.jpg
387,Single Crust Peach Pie,30 mins,,1 hrs 20 mins,8,1 pie,"¾ cup white sugar, 2 tablespoons butter, softened, ⅓ cup all-purpose flour, ¼ teaspoon ground nutmeg, 6  fresh peaches - pitted, skinned, and sliced, 1 recipe pastry for a 9 inch single crust pie","Cream sugar and butter or margarine together. Add flour and nutmeg; mix until mealy. Spread 1/2 of mixture in pie crust. Arrange peaches on top of crumb mixture. Sprinkle remaining crumb mixture on top of peaches.
Bake at 450 degrees F (230 degrees C) for ten minutes. Reduce heat to 350 degrees F (175 degrees C). Continue baking for 40 minutes, or until brown.",4.4,https://www.allrecipes.com/recipe/12307/single-crust-peach-pie/,/Desserts/Pies/Fruit Pies/Peach Pie Recipes/,"Total Fat 10g 13%, Saturated Fat 4g 19%, Cholesterol 8mg 3%, Sodium 140mg 6%, Total Carbohydrate 38g 14%, Dietary Fiber 1g 4%, Total Sugars 23g, Protein 2g, Vitamin C 31mg 157%, Calcium 13mg 1%, Iron 1mg 5%, Potassium 46mg 1%","Prep Time: 30 mins, Additional Time: 50 mins, Total Time: 1 hrs 20 mins, Servings: 8, Yield: 1 pie",https://www.allrecipes.com/thmb/d6c_LJ5kZl4xad_51iRDXKhFaXw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2387881-4273b847d7b94166a458ada5403139cd.jpg
